caldt,vwretd,vwretx,sprtrn
19710630,0.003119,0.001385,0.000703
19710730,-0.040283,-0.041317,-0.041324
19710831,0.042511,0.037666,0.036095
19710930,-0.005016,-0.006491,-0.006968
19711029,-0.040683,-0.042346,-0.041794
19711130,-0.001262,-0.005696,-0.002547
19711231,0.091257,0.089557,0.086179
19720131,0.028382,0.027169,0.018121
19720229,0.031349,0.027272,0.025303
19720330,0.008723,0.007248,0.005912
19720428,0.005505,0.004723,0.004384
19720531,0.016375,0.011960,0.017275
19720630,-0.020897,-0.022412,-0.021821
19720731,-0.004254,-0.005310,0.002333
19720831,0.035966,0.031857,0.034454
19720929,-0.007670,-0.009085,-0.004861
19721031,0.008676,0.007358,0.009317
19721130,0.049764,0.045305,0.045617
19721229,0.011243,0.009903,0.011828
19730131,-0.027454,-0.028654,-0.017111
19730228,-0.044370,-0.047916,-0.037490
19730330,-0.007857,-0.009330,-0.001433
19730430,-0.051769,-0.052965,-0.040800
19730531,-0.024508,-0.028777,-0.018884
19730629,-0.008648,-0.010424,-0.006575
19730731,0.056961,0.055514,0.037982
19730831,-0.029657,-0.034039,-0.036685
19730928,0.053931,0.052530,0.040096
19731031,-0.000415,-0.002142,-0.001291
19731130,-0.120713,-0.125557,-0.113861
19731231,0.011437,0.009421,0.016569
19740131,0.004413,0.002808,-0.010046
19740228,0.002345,-0.002452,-0.003624
19740329,-0.023364,-0.025299,-0.023280
19740430,-0.045961,-0.047694,-0.039051
19740531,-0.041981,-0.047321,-0.033551
19740628,-0.022942,-0.025407,-0.014665
19740731,-0.070874,-0.072695,-0.077791
19740830,-0.087757,-0.094578,-0.090279
19740930,-0.109718,-0.112274,-0.119335
19741031,0.165584,0.162459,0.163047
19741129,-0.041046,-0.048241,-0.053180
19741231,-0.027005,-0.030302,-0.020151
19750131,0.141600,0.139591,0.122812
19750228,0.058412,0.051629,0.059886
19750331,0.030190,0.027442,0.021694
19750430,0.046497,0.044433,0.047265
19750530,0.055140,0.049542,0.044101
19750630,0.051473,0.048958,0.044323
19750731,-0.060385,-0.062318,-0.067654
19750829,-0.023558,-0.028960,-0.021070
19750930,-0.038010,-0.040486,-0.034645
19751031,0.055857,0.053272,0.061643
19751128,0.031222,0.025801,0.024708
19751231,-0.010998,-0.013677,-0.011508
19760130,0.126012,0.124372,0.118306
19760227,0.007310,0.002081,-0.011402
19760331,0.026740,0.024295,0.030689
19760430,-0.010402,-0.011668,-0.010995
19760528,-0.009326,-0.015305,-0.014364
19760630,0.044521,0.042168,0.040926
19760730,-0.006136,-0.007574,-0.008055
19760831,-0.001398,-0.007387,-0.005124
19760930,0.024513,0.022385,0.022641
19761029,-0.020372,-0.022249,-0.022235
19761130,0.005363,-0.001438,-0.007775
19761231,0.061591,0.059300,0.052498
19770131,-0.036326,-0.037995,-0.050530
19770228,-0.015744,-0.021770,-0.021660
19770331,-0.009249,-0.011797,-0.014025
19770429,0.004962,0.003564,0.000203
19770531,-0.010777,-0.018005,-0.023568
19770630,0.051369,0.048712,0.045360
19770729,-0.012806,-0.014162,-0.016222
19770831,-0.013338,-0.020278,-0.021042
19770930,0.001572,-0.001008,-0.002480
19771031,-0.039278,-0.041312,-0.043406
19771130,0.045440,0.037081,0.026966
19771230,0.008223,0.005497,0.002847
19780131,-0.055199,-0.057209,-0.061514
19780228,-0.009275,-0.016700,-0.024762
19780331,0.034009,0.030865,0.024931
19780428,0.082853,0.081203,0.085416
19780531,0.023230,0.015499,0.004234
19780630,-0.010748,-0.013740,-0.017585
19780731,0.056741,0.054868,0.053910
19780831,0.042370,0.035504,0.025924
19780929,-0.006889,-0.009456,-0.007261
19781031,-0.110995,-0.113600,-0.091574
19781130,0.033787,0.025752,0.016640
19781229,0.017708,0.014580,0.014889
19790131,0.049530,0.047019,0.039746
19790228,-0.026765,-0.033781,-0.036526
19790330,0.065613,0.062472,0.055152
19790430,0.008520,0.006438,0.001673
19790531,-0.013571,-0.021458,-0.026336
19790629,0.046852,0.043821,0.038656
19790731,0.014991,0.012773,0.008746
19790831,0.064732,0.057305,0.053078
19790928,0.001426,-0.000932,0.000000
19791031,-0.072662,-0.075470,-0.068606
19791130,0.063604,0.055810,0.042624
19791231,0.028215,0.025174,0.016767
19800131,0.065607,0.063303,0.057625
19800229,0.001015,-0.005740,-0.004380
19800331,-0.120224,-0.123258,-0.101795
19800430,0.052287,0.049833,0.041140
19800530,0.060090,0.052629,0.046571
19800630,0.037714,0.034438,0.026969
19800731,0.069438,0.067066,0.065039
19800829,0.023554,0.017236,0.005835
19800930,0.029498,0.026617,0.025168
19801031,0.020095,0.017370,0.016021
19801128,0.104952,0.099010,0.102377
19801231,-0.034411,-0.037041,-0.033874
19810130,-0.040085,-0.041823,-0.045742
19810227,0.015519,0.009121,0.013277
19810331,0.046183,0.043095,0.036033
19810430,-0.011266,-0.013035,-0.023456
19810529,0.013546,0.007402,-0.001657
19810630,-0.010243,-0.013356,-0.010408
19810731,-0.003079,-0.004806,-0.002210
19810831,-0.056281,-0.063014,-0.062099
19810930,-0.063776,-0.066716,-0.053832
19811030,0.060162,0.057005,0.049148
19811130,0.045848,0.039226,0.036590
19811231,-0.028096,-0.031104,-0.030075
19820129,-0.026209,-0.027912,-0.017544
19820226,-0.051126,-0.058640,-0.060548
